# Quantum technology companies — source of truth for the dashboard.
# Pipe-delimited (|) so "City, Country" commas are safe. Lines starting with # are ignored.
# Figures are approximate, compiled from public reporting (company press releases,
# The Quantum Insider, Crunchbase, SEC/press) as of mid-2026. Blank = undisclosed.
# total_raised_musd / valuation_musd are in millions of USD.
#
# name|domain|focus|stage|founded|hq|total_raised_musd|valuation_musd|url
QuSecure|Software|Post-quantum cryptography|Series A|2019|San Mateo, USA|28||https://qusecure.com
Qedma|Software|Error mitigation|Series A|2020|Tel Aviv, Israel|26||https://qedma.com
Maybell Quantum|Enabling|Dilution refrigerators|Series A|2021|Denver, USA|25||https://maybellquantum.com
QunaSys|Software|Quantum chemistry|Series B|2018|Tokyo, Japan|25||https://qunasys.com
Qnami|Sensing|NV diamond microscopy|Series A|2017|Basel, Switzerland|25||https://qnami.ch
QuiX Quantum|Hardware|Photonic|Series A|2019|Enschede, Netherlands|25||https://quixquantum.com
Alpine Quantum Technologies|Hardware|Trapped-ion|Series A|2018|Innsbruck, Austria|20||https://aqt.eu
Horizon Quantum Computing|Software|Compilers & dev tools|Seed|2018|Singapore|18||https://horizonquantum.com
Aliro Quantum|Software|Quantum networking software|Seed|2019|Boston, USA|14||https://aliroquantum.com
Kipu Quantum|Software|Application-specific algorithms|Seed|2021|Karlsruhe, Germany|13||https://kipu-quantum.com
Menten AI|Software|Quantum for drug design|Seed|2018|San Francisco, USA|12||https://menten.ai
Nu Quantum|Enabling|Quantum networking|Seed|2018|Cambridge, UK|12||https://nu-quantum.com
eleQtron|Hardware|Trapped-ion|Seed|2020|Siegen, Germany|11||https://eleqtron.com
HQS Quantum Simulations|Software|Materials & chemistry|Seed|2017|Karlsruhe, Germany|10||https://quantumsimulations.de
QphoX|Enabling|Quantum transducer|Seed|2020|Delft, Netherlands|10||https://qphox.eu
SBQuantum|Sensing|Quantum magnetometer|Seed|2016|Sherbrooke, Canada|10||https://sbquantum.com
KETS Quantum Security|Enabling|QKD photonic chips|Seed|2016|Bristol, UK|10||https://kets-quantum.com
Sparrow Quantum|Enabling|Single-photon sources|Seed|2016|Copenhagen, Denmark|9||https://sparrowquantum.com
Atlantic Quantum|Hardware|Fluxonium superconducting|Seed|2022|Cambridge, USA|9||https://atlantic-quantum.com
ParityQC|Software|Architecture & compiler|Seed|2020|Innsbruck, Austria|8||https://parityqc.com
Entropica Labs|Software|Error-correction software|Seed|2018|Singapore|5||https://entropicalabs.com
Haiqu|Software|Quantum runtime software|Seed|2022|Chicago, USA|4||https://haiqu.ai
Quantum Source|Hardware|Photonic|Series A|2021|Rehovot, Israel|77||https://quantumsource.io
Quantum Circuits|Hardware|Dual-rail superconducting|Series A|2015|New Haven, USA|76||https://quantumcircuits.com
Qolab|Hardware|Superconducting|Series B|2022|Santa Barbara, USA|70||https://qolab.ai
Equal1|Hardware|Silicon spin (CMOS)|Series A|2017|Dublin, Ireland|60||https://equal1.com
QpiAI|Hardware|Full-stack quantum + AI|Series A|2019|Bengaluru, India|32|162|https://qpiai.tech
EeroQ|Hardware|Electron-on-helium|Seed|2016|Chicago, USA|7||https://eeroq.com
Bleximo|Hardware|Application-specific superconducting|Seed|2017|Berkeley, USA|5||https://bleximo.com
Aegiq|Hardware|Photonic (single-photon)|Seed|2019|Sheffield, UK|10||https://aegiq.com
Anyon Systems|Hardware|Superconducting|Private|2014|Montreal, Canada|||https://anyonsys.com
Qilimanjaro|Hardware|Analog / coherent|Seed|2020|Barcelona, Spain|||https://qilimanjaro.tech
Semiqon|Hardware|Silicon CMOS|Seed|2023|Espoo, Finland|||https://semiqon.tech
Alea Quantum Technologies|Hardware|Trapped-ion|Seed|2022|Aarhus, Denmark|||https://aleaquantum.com
QuintessenceLabs|Software|Quantum-safe security (QKD/QRNG)|Private|2008|Canberra, Australia|53||https://quintessencelabs.com
QNu Labs|Software|Quantum-safe security|Series B|2016|Bengaluru, India|22||https://qnulabs.com
ID Quantique|Software|Quantum-safe security (QKD)|Acquired|2001|Geneva, Switzerland|65||https://idquantique.com
Quantum Xchange|Software|Quantum-safe networking|Private|2018|Bethesda, USA|||https://quantumxc.com
Crypta Labs|Software|Quantum random numbers|Seed|2014|London, UK|||https://cryptalabs.com
Qubit Pharmaceuticals|Software|Drug discovery|Seed|2020|Paris, France|16||https://qubit-pharmaceuticals.com
QMware|Software|Hybrid quantum cloud|Seed|2019|Zug, Switzerland|||https://qm-ware.com
Agnostiq|Software|Workflow orchestration|Seed|2018|Toronto, Canada|8||https://agnostiq.ai
BosonQ Psi|Software|Engineering simulation|Seed|2020|Bhilai, India|5||https://bosonqpsi.com
Qruise|Software|ML for quantum control|Seed|2021|Saarbruecken, Germany|||https://qruise.com
QSimulate|Software|Molecular simulation|Seed|2018|Cambridge, USA|||https://qsimulate.com
Quantum Dice|Enabling|Quantum random-number chips|Seed|2020|Oxford, UK|8||https://quantum-dice.com
SpeQtral|Enabling|Satellite QKD|Series A|2018|Singapore|19||https://speqtral.space
Welinq|Enabling|Quantum memories & interconnect|Seed|2022|Paris, France|10||https://welinq.fr
Pixel Photonics|Enabling|Integrated photon detectors|Seed|2020|Muenster, Germany|||https://pixelphotonics.com
Single Quantum|Enabling|Superconducting photon detectors|Private|2012|Delft, Netherlands|||https://singlequantum.com
Miraex|Enabling|Photonic transducers & sensing|Seed|2019|Lausanne, Switzerland|||https://miraex.com
Delft Circuits|Enabling|Cryogenic I/O cabling|Seed|2016|Delft, Netherlands|||https://delft-circuits.com
Bluefors|Enabling|Dilution refrigerators|Private|2008|Helsinki, Finland|||https://bluefors.com
Zurich Instruments|Enabling|Control electronics|Acquired|2008|Zurich, Switzerland|||https://zhinst.com
QuSpin|Sensing|Optically-pumped magnetometers|Private|2012|Louisville, USA|||https://quspin.com
Cerca Magnetics|Sensing|Wearable MEG brain scanner|Seed|2020|Nottingham, UK|7||https://cercamagnetics.com
Vector Atomic|Sensing|Atomic clocks & inertial sensors|Series A|2018|Pleasanton, USA|||https://vectoratomic.com
Q.ANT|Sensing|Photonic sensing & computing|Private|2018|Stuttgart, Germany|||https://qant.com
AOSense|Sensing|Atom interferometry|Private|2004|Sunnyvale, USA|||https://aosense.com
